﻿Χρόνος Γένεσης (GMT),Γεωγρ.Πλάτος,Γεωγρ.Μήκος,Βάθος (χμ),Μέγεθος (ML),Επίκεντρο,Απόσταση (χμ) από το κέντρο (Γ.Πλ.:35.1571  Γ.Μήκ.:25.2483)
﻿2021/10/20 12:17:25,35.18,25.32,7,1.6,23.5 χμ ΝΑ του Ηρακλείου,7.3
﻿2021/10/20 10:25:32,35.16,25.31,13,2.5,24.4 χμ ΝΑ του Ηρακλείου,5.6
﻿2021/10/20 09:50:19,35.16,25.33,9,2.6,26.1 χμ ΝΑ του Ηρακλείου,7.5
﻿2021/10/20 09:08:55,35.17,25.31,6,2.3,24.0 χμ ΝΑ του Ηρακλείου,5.8
﻿2021/10/20 08:47:25,35.18,25.31,8,1.4,22.5 χμ ΝΑ του Ηρακλείου,6.0
﻿2021/10/20 08:12:51,35.16,25.31,13,2.8,24.6 χμ ΝΑ του Ηρακλείου,5.2
﻿2021/10/20 08:09:28,35.17,25.32,6,2.5,23.7 χμ ΝΑ του Ηρακλείου,6.5
﻿2021/10/20 07:33:16,35.13,25.20,10,3.3,22.9 χμ ΝΝΑ του Ηρακλείου,5.2
﻿2021/10/20 07:02:56,35.19,25.32,8,2.6,23.1 χμ ΝΑ του Ηρακλείου,7.3
﻿2021/10/20 06:56:26,35.17,25.31,13,2.1,23.4 χμ ΝΑ του Ηρακλείου,6.1
﻿2021/10/20 06:47:28,35.18,25.32,14,2.2,23.3 χμ ΝΑ του Ηρακλείου,7.2
﻿2021/10/20 06:02:20,35.17,25.31,9,3.4,23.8 χμ ΝΑ του Ηρακλείου,6.3
﻿2021/10/20 05:58:59,35.16,25.30,12,1.9,24.3 χμ ΝΑ του Ηρακλείου,5.1
﻿2021/10/20 03:50:52,35.17,25.31,14,3.2,24.1 χμ ΝΑ του Ηρακλείου,5.7
﻿2021/10/20 02:44:05,35.18,25.31,12,4.3,23.2 χμ ΝΑ του Ηρακλείου,5.9
﻿2021/10/20 02:40:13,35.16,25.31,11,1.9,24.8 χμ ΝΑ του Ηρακλείου,6.0
﻿2021/10/20 02:04:29,35.14,25.31,13,2.6,25.9 χμ ΝΑ του Ηρακλείου,5.6
﻿2021/10/20 01:42:48,35.17,25.32,13,2.0,24.0 χμ ΝΑ του Ηρακλείου,6.5
﻿2021/10/20 01:31:15,35.16,25.30,12,3.4,24.1 χμ ΝΑ του Ηρακλείου,4.3
﻿2021/10/20 01:29:35,35.17,25.30,12,3.3,23.5 χμ ΝΑ του Ηρακλείου,5.0
﻿2021/10/20 00:18:29,35.18,25.33,15,2.0,24.0 χμ ΝΑ του Ηρακλείου,7.7
﻿2021/10/20 00:08:11,35.17,25.24,18,1.6,19.9 χμ ΝΝΑ του Ηρακλείου,1.6
﻿2021/10/19 21:47:09,35.17,25.31,9,3.2,23.8 χμ ΝΑ του Ηρακλείου,6.1
﻿2021/10/19 21:22:12,35.16,25.32,6,1.6,24.8 χμ ΝΑ του Ηρακλείου,6.3
﻿2021/10/19 20:53:31,35.18,25.32,8,2.1,23.6 χμ ΝΑ του Ηρακλείου,7.6
﻿2021/10/19 20:49:29,35.17,25.31,7,1.7,23.9 χμ ΝΑ του Ηρακλείου,6.0
﻿2021/10/19 20:25:39,35.15,25.24,10,2.2,22.2 χμ ΝΝΑ του Ηρακλείου,1.4
﻿2021/10/19 20:14:57,35.17,25.31,8,3.4,24.3 χμ ΝΑ του Ηρακλείου,6.0
﻿2021/10/19 19:57:51,35.16,25.33,8,2.1,25.7 χμ ΝΑ του Ηρακλείου,7.8
﻿2021/10/19 19:39:06,35.16,25.23,8,1.9,20.8 χμ ΝΝΑ του Ηρακλείου,1.8
﻿2021/10/19 18:48:54,35.17,25.31,8,3.2,23.8 χμ ΝΑ του Ηρακλείου,6.3
﻿2021/10/19 18:36:56,35.16,25.26,12,2.4,21.4 χμ ΝΝΑ του Ηρακλείου,1.4
﻿2021/10/19 18:30:44,35.12,25.26,7,1.1,25.4 χμ ΝΝΑ του Ηρακλείου,4.1
﻿2021/10/19 18:25:17,35.16,25.22,10,1.4,20.4 χμ ΝΝΑ του Ηρακλείου,2.7
﻿2021/10/19 18:22:06,35.13,25.25,5,1.8,23.8 χμ ΝΝΑ του Ηρακλείου,2.7
﻿2021/10/19 17:13:06,35.15,25.20,13,1.9,21.0 χμ ΝΝΑ του Ηρακλείου,4.1
﻿2021/10/19 14:38:09,35.19,25.23,11,1.3,17.8 χμ ΝΝΑ του Ηρακλείου,3.8
﻿2021/10/19 14:14:33,35.15,25.22,9,1.9,21.5 χμ ΝΝΑ του Ηρακλείου,2.6
﻿2021/10/19 14:00:50,35.18,25.26,10,2.4,19.8 χμ ΝΑ του Ηρακλείου,2.9
﻿2021/10/19 08:01:54,35.14,25.18,7,1.4,20.9 χμ ΝΝΑ του Ηρακλείου,6.4
﻿2021/10/19 07:40:39,35.19,25.24,9,1.6,17.8 χμ ΝΝΑ του Ηρακλείου,3.8
﻿2021/10/19 04:41:11,35.15,25.23,9,3.0,22.0 χμ ΝΝΑ του Ηρακλείου,1.7
﻿2021/10/19 02:34:38,35.15,25.23,9,1.5,21.7 χμ ΝΝΑ του Ηρακλείου,2.0
﻿2021/10/19 01:29:00,35.15,25.24,12,2.2,22.1 χμ ΝΝΑ του Ηρακλείου,1.6
﻿2021/10/18 21:10:54,35.17,25.24,10,1.8,19.5 χμ ΝΝΑ του Ηρακλείου,2.1
﻿2021/10/18 20:07:45,35.04,25.15,9,2.1,31.7 χμ Ν του Ηρακλείου,15.8
﻿2021/10/18 18:47:33,35.15,25.25,10,2.0,22.5 χμ ΝΝΑ του Ηρακλείου,1.0
﻿2021/10/18 17:14:44,35.20,25.32,6,2.9,21.6 χμ ΝΑ του Ηρακλείου,7.9
﻿2021/10/18 17:09:34,35.15,25.26,13,2.6,22.7 χμ ΝΝΑ του Ηρακλείου,1.2
﻿2021/10/18 16:40:06,35.15,25.25,6,2.2,22.5 χμ ΝΝΑ του Ηρακλείου,1.2
﻿2021/10/18 16:15:40,35.16,25.25,9,1.8,21.2 χμ ΝΝΑ του Ηρακλείου,0.4
﻿2021/10/18 15:45:07,35.20,25.33,5,1.8,22.9 χμ ΝΑ του Ηρακλείου,8.7
﻿2021/10/18 15:43:23,35.11,25.26,10,1.6,26.6 χμ ΝΝΑ του Ηρακλείου,5.3
﻿2021/10/18 13:44:47,35.18,25.37,9,1.5,27.1 χμ ΝΑ του Ηρακλείου,11.2
﻿2021/10/18 13:04:50,35.17,25.17,13,2.5,17.8 χμ ΝΝΑ του Ηρακλείου,7.1
﻿2021/10/18 11:22:28,35.14,25.23,9,2.3,22.8 χμ ΝΝΑ του Ηρακλείου,2.7
﻿2021/10/18 08:15:55,35.12,25.23,9,1.3,24.7 χμ ΝΝΑ του Ηρακλείου,4.6
﻿2021/10/18 08:04:10,35.15,25.18,7,2.1,19.7 χμ ΝΝΑ του Ηρακλείου,5.9
﻿2021/10/18 07:10:06,35.15,25.25,9,1.2,22.2 χμ ΝΝΑ του Ηρακλείου,0.8
﻿2021/10/18 07:04:18,35.20,25.32,9,1.7,22.3 χμ ΝΑ του Ηρακλείου,8.1
﻿2021/10/18 04:33:05,35.14,25.22,11,2.6,22.2 χμ ΝΝΑ του Ηρακλείου,3.5
﻿2021/10/18 02:54:06,35.17,25.25,13,2.1,20.8 χμ ΝΝΑ του Ηρακλείου,1.0
﻿2021/10/18 02:42:53,35.17,25.31,6,2.1,24.0 χμ ΝΑ του Ηρακλείου,6.0
﻿2021/10/18 02:40:01,35.18,25.32,4,2.0,23.7 χμ ΝΑ του Ηρακλείου,7.0
﻿2021/10/18 02:09:09,35.20,25.34,6,1.9,23.4 χμ ΝΑ του Ηρακλείου,9.6
﻿2021/10/18 01:56:46,35.14,25.27,5,2.1,24.2 χμ ΝΝΑ του Ηρακλείου,2.7
﻿2021/10/18 01:48:33,35.18,25.30,6,1.5,22.6 χμ ΝΑ του Ηρακλείου,5.5
﻿2021/10/18 01:38:27,35.18,25.30,7,1.2,22.4 χμ ΝΑ του Ηρακλείου,5.8
﻿2021/10/18 00:52:10,35.18,25.26,7,1.4,19.7 χμ ΝΑ του Ηρακλείου,3.3
﻿2021/10/18 00:50:47,35.17,25.30,12,1.7,22.7 χμ ΝΑ του Ηρακλείου,4.9
﻿2021/10/17 23:55:19,35.19,25.33,10,1.6,23.6 χμ ΝΑ του Ηρακλείου,8.2
﻿2021/10/17 23:54:01,35.19,25.32,8,1.8,22.9 χμ ΝΑ του Ηρακλείου,6.9
﻿2021/10/17 23:49:40,35.16,25.31,13,1.6,24.4 χμ ΝΑ του Ηρακλείου,5.9
﻿2021/10/17 23:46:03,35.19,25.31,6,1.1,22.6 χμ ΝΑ του Ηρακλείου,6.9
﻿2021/10/17 23:07:44,35.18,25.29,8,1.5,22.0 χμ ΝΑ του Ηρακλείου,4.8
﻿2021/10/17 23:01:18,35.13,25.23,10,1.7,23.3 χμ ΝΝΑ του Ηρακλείου,3.1
﻿2021/10/17 22:32:49,35.14,25.25,8,1.9,23.5 χμ ΝΝΑ του Ηρακλείου,2.4
﻿2021/10/17 22:17:07,35.18,25.30,6,1.1,22.0 χμ ΝΑ του Ηρακλείου,5.6
﻿2021/10/17 21:54:50,35.14,25.24,10,2.8,23.2 χμ ΝΝΑ του Ηρακλείου,2.4
﻿2021/10/17 21:18:05,35.04,25.17,15,1.7,31.7 χμ Ν του Ηρακλείου,14.9
﻿2021/10/17 21:15:44,35.20,25.31,6,1.7,21.1 χμ ΝΑ του Ηρακλείου,7.7
﻿2021/10/17 20:51:42,35.17,25.31,11,2.2,23.3 χμ ΝΑ του Ηρακλείου,5.4
﻿2021/10/17 20:44:20,35.14,25.22,10,1.5,21.8 χμ ΝΝΑ του Ηρακλείου,3.2
﻿2021/10/17 20:36:31,35.21,25.32,8,2.0,21.5 χμ ΝΑ του Ηρακλείου,9.2
﻿2021/10/17 20:25:29,35.18,25.30,11,1.9,22.2 χμ ΝΑ του Ηρακλείου,5.1
﻿2021/10/17 20:13:06,35.14,25.22,11,1.9,21.7 χμ ΝΝΑ του Ηρακλείου,3.0
﻿2021/10/17 19:51:46,35.14,25.21,11,1.9,22.3 χμ ΝΝΑ του Ηρακλείου,4.1
﻿2021/10/17 19:26:41,35.17,25.25,14,1.5,20.4 χμ ΝΝΑ του Ηρακλείου,1.3
﻿2021/10/17 18:57:48,35.17,25.25,12,1.4,20.3 χμ ΝΝΑ του Ηρακλείου,1.6
﻿2021/10/17 18:50:59,35.14,25.23,10,1.6,22.7 χμ ΝΝΑ του Ηρακλείου,2.7
